Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01-01-2015;;;27,7;82;;;7;240;3;W 
02-01-2015;;31,8;27,9;83;8888;4,2;7;260;3;W 
03-01-2015;;;27,5;80;0,8;;5;250;2;W 
04-01-2015;25;30,4;27,3;82;4,2;;6;230;2;N 
05-01-2015;24;31,7;27,7;80;8888;;4;200;1;N 
06-01-2015;25;;28,3;76;;9,7;3;270;1;N 
07-01-2015;25;32,2;28,2;79;2,7;;6;230;2;N 
08-01-2015;24;32,4;28,5;76;;;5;250;3;W 
09-01-2015;;32,6;28,9;72;;8,9;7;250;3;W 
10-01-2015;25;32,8;28,7;73;;;9;240;4;W 
11-01-2015;26;33;28,8;76;0;9,6;11;240;4;SW
12-01-2015;26;32,5;28,1;82;;10,4;5;230;2;N 
13-01-2015;24;31,5;25,9;91;10,6;;5;240;0;N 
14-01-2015;24;31,8;27,1;85;74,4;2,3;5;230;2;N 
15-01-2015;24;31,8;27,2;85;0,8;;5;210;2;SW
16-01-2015;25;32,6;28,5;79;0,2;;5;210;2;N 
17-01-2015;24;31,6;26,6;88;54,4;;4;160;1;N 
18-01-2015;23;32,4;25,9;89;4,2;;4;270;1;N 
19-01-2015;25;31,5;26,3;87;7,7;;9;220;2;N 
20-01-2015;23;32,6;;;20,2;;4;200;2;N 
21-01-2015;24;30,2;27,2;84;8888;;2;130;0;N 
22-01-2015;25;31,6;26,8;89;;;5;110;2;N 
23-01-2015;24;31,4;26,3;;3,3;4,7;5;140;2;N 
24-01-2015;25;31,6;27,3;85;8888;;6;220;2;N 
25-01-2015;25;31,4;27,6;85;1;0;5;260;2;N 
26-01-2015;23;31;25,3;86;44;3,8;6;300;1;N 
27-01-2015;;31,7;27,7;85;8888;;5;240;1;N 
28-01-2015;25;31,8;28;83;15,2;;8;280;2;N 
29-01-2015;25;32;28,1;84;2;;6;280;3;W 
30-01-2015;26;32,4;27,2;84;0;9,7;6;190;2;N 
31-01-2015;24;29,8;26,2;90;47,3;;4;270;2;N 
01-02-2015;24;31,4;26,1;87;1,7;;3;190;1;N 
02-02-2015;;;27,4;82;7,6;4,2;4;190;1;N 
03-02-2015;24;28,6;26;90;1,6;;4;250;1;N 
04-02-2015;24;31,6;27,6;84;2,6;0,8;5;220;2;SW
05-02-2015;25;31,4;27,2;86;2,2;9,5;6;190;2;N 
06-02-2015;25;31,9;26,8;87;8888;5,7;5;200;3;W 
07-02-2015;24;32,2;27,2;85;8888;;5;300;2;N 
08-02-2015;24;31;27,2;84;48,8;;4;150;2;N 
09-02-2015;24;32;26,1;88;14;;5;290;2;N 
10-02-2015;24;31,2;27,1;86;93,2;4,8;5;230;2;NW
11-02-2015;24;31,4;26,5;87;33,8;3,4;4;230;2;N 
12-02-2015;25;32,2;26,7;86;8888;;6;180;2;N 
13-02-2015;24;32,2;26,6;86;37;;4;190;1;N 
14-02-2015;;31,2;27,5;86;39,1;4,6;4;120;2;N 
15-02-2015;24;33,1;28,1;78;0;;6;120;3;NW
16-02-2015;24;32,6;27,8;80;;9,2;5;130;3;W 
17-02-2015;25;32,6;27,5;85;;7;5;130;2;W 
18-02-2015;24;32,2;28,4;79;;6,2;5;120;2;SE
19-02-2015;24;30,4;26,4;87;155;9,8;5;140;2;W 
20-02-2015;24;30,4;26,8;83;7,2;1,8;3;210;1;N 
21-02-2015;24;32,2;27,4;82;;0,4;4;260;2;W 
22-02-2015;24;33,4;28,1;78;0;5,8;6;240;2;W 
23-02-2015;25;32,9;27,8;82;8888;10,8;4;230;2;W 
24-02-2015;24;33,1;28,4;81;16;3,4;9;210;2;SW
25-02-2015;25;;27,5;84;0,8;;4;140;2;W 
26-02-2015;25;32,6;28,2;78;0;10,4;5;120;1;N 
27-02-2015;25;31,7;27,7;82;0;7;4;170;2;N 
28-02-2015;25;32,2;27,9;83;;2,5;8;140;2;W 
01-03-2015;;32,2;26,6;83;4,4;7,8;5;220;2;W 
02-03-2015;24;32,2;26,3;85;1;1;7;230;2;SW
03-03-2015;23;32,6;26,7;83;47,5;6,8;11;280;3;W 
04-03-2015;24;30,5;26,8;86;0;5,6;9;230;2;W 
05-03-2015;25;31;26,8;85;;1,7;4;220;2;W 
06-03-2015;24;33,1;27,7;80;8888;1,4;7;190;3;W 
07-03-2015;24;;26,5;85;0;;7;300;2;N 
08-03-2015;25;33;27,3;84;1,7;;5;360;2;N 
09-03-2015;25;33,8;27,7;81;0,2;6,1;7;230;2;W 
10-03-2015;25;33,4;27,3;85;12,5;8,3;5;250;2;N 
11-03-2015;25;31,6;26,4;87;8888;4,8;5;240;2;W 
12-03-2015;24;32,4;26,3;87;36,1;1,5;4;140;2;N 
13-03-2015;23;32,6;26,9;82;10,5;6,9;6;230;2;N 
14-03-2015;23;32,8;28;84;8,7;9,6;5;190;1;N 
15-03-2015;;31,2;26,8;85;34;2,9;5;250;2;N 
